kinase,upregulated,downregulated,unregulated,upregulated_enrichment_value,upregulated_enrichment_value_log2,upregulated_p_value,upregulated_p_value_log10_abs,upregulated_adjusted_p_value,upregulated_adjusted_p_value_log10_abs,downregulated_enrichment_value,downregulated_enrichment_value_log2,downregulated_p_value,downregulated_p_value_log10_abs,downregulated_adjusted_p_value,downregulated_adjusted_p_value_log10_abs,dominant_direction,dominant_enrichment_value_log2,dominant_p_value_log10_abs,dominant_adjusted_p_value_log10_abs
CDK19,22.0,47.0,243.0,0.7715421636325591,0.3741830947971795,0.8935513679317779,0.04888047598646445,1.0,0.0,1.6262438581279162,-0.7015436082942593,0.003902137549839551,2.408697425847849,0.051406420765277565,1.2889826333631371,downregulated set,-0.7015436082942593,2.408697425847849,1.2889826333631371
CDK2,20.0,75.0,330.0,0.4952555861646771,1.0137548470080855,0.9995354421276642,0.0002018017984173506,1.0,0.0,2.0353908084535393,-1.0253058280473275,1.5012773000774363e-06,5.823539082060188,6.498386027478046e-05,4.18719449357214,downregulated set,-1.0253058280473275,5.823539082060188,4.18719449357214
CDK3,15.0,50.0,216.0,0.5842991169977925,0.7752209858266742,0.9862613102900156,0.006008003332964445,1.0,0.0,1.9871433933933933,-0.9906959820356611,7.756050822354105e-05,4.110359353822879,0.0019612052322988687,2.7074769567701917,downregulated set,-0.9906959820356611,4.110359353822879,2.7074769567701917
CDK4,19.0,90.0,358.0,0.4272524464774474,1.226839341989398,0.9999672864286848,1.4207555896744502e-05,1.0,0.0,2.35586155726257,-1.2362547613588528,1.1529973418505337e-09,8.938171693937717,1.164527315269039e-07,6.9338503201550745,downregulated set,-1.2362547613588528,8.938171693937717,6.9338503201550745
CDK5,22.0,72.0,333.0,0.54286150557337,0.8813439092102175,0.998496109830656,0.0006536228136801414,1.0,0.0,1.9128033142631682,-0.9356885348834744,1.2348357466727716e-05,4.908390806823549,0.00046769403905231227,3.3300381653131876,downregulated set,-0.9356885348834744,4.908390806823549,3.3300381653131876
CDK6,19.0,91.0,351.0,0.437044685366833,1.1941473001470604,0.9999466264600306,2.318045250524735e-05,1.0,0.0,2.4461873638344227,-1.2905349102113541,2.1932965654491098e-10,9.658902641450572,6.645688593310803e-08,7.177460012948267,downregulated set,-1.2905349102113541,9.658902641450572,7.177460012948267
CDK7,10.0,49.0,240.0,0.34161237785016285,1.5495678449303563,0.9999589833178493,1.7813684055647383e-05,1.0,0.0,1.7302609427609428,-0.7909896288669033,0.001185984801519681,2.925920876451039,0.020888639824268272,1.6800898384326508,downregulated set,-0.7909896288669033,2.925920876451039,1.6800898384326508
CDK8,24.0,45.0,269.0,0.7576030551784514,0.40048594612711325,0.9158059447616639,0.03819654166788981,1.0,0.0,1.3827514233842582,-0.46754182714395104,0.03950982826972529,1.403294857984278,0.2895253507952489,0.5383134035135049,downregulated set,-0.46754182714395104,1.403294857984278,0.5383134035135049
CDK9,18.0,75.0,300.0,0.4930434782608696,1.0202132208895087,0.999283574712057,0.00031125105663117026,1.0,0.0,2.2666051660516606,-1.1805331010082933,5.362048262751223e-08,7.27066928133557,4.0617515590340515e-06,5.391286644161227,downregulated set,-1.1805331010082933,7.27066928133557,5.391286644161227
CDKL1,6.0,25.0,202.0,0.24402279456241444,2.0349121763362574,0.9999930766624288,3.006777712023881e-06,1.0,0.0,0.9850868264396533,-0.021677204274389524,0.5611977522103923,0.2508840771386494,1.0,0.0,downregulated set,-0.021677204274389524,0.2508840771386494,0.0
CDKL5,7.0,27.0,171.0,0.3414827391058291,1.5501154382922768,0.9996214649748565,0.00016442679524121892,1.0,0.0,1.2799868008579443,-0.35612893332295564,0.15118222312095494,0.82049927268641,0.7634702267608224,0.11720789456774866,downregulated set,-0.35612893332295564,0.82049927268641,0.11720789456774866
CHAK1,4.0,8.0,80.0,0.42763578274760383,1.225545518179203,0.9796768924746391,0.00891713548393538,1.0,0.0,0.7920118343195266,-0.336406107528769,0.7819826059672054,0.10680290706352195,1.0,0.0,downregulated set,-0.336406107528769,0.10680290706352195,0.0
CHAK2,7.0,20.0,100.0,0.5999677419354839,0.7370431605008516,0.9367120758288334,0.028393880931442537,1.0,0.0,1.6300613496932514,-0.7049262633720667,0.04045609406298396,1.3930160496121295,0.2895253507952489,0.5383134035135049,downregulated set,-0.7049262633720667,1.3930160496121295,0.5383134035135049
CHK1,37.0,12.0,149.0,2.3129434324065197,1.2097299824528993,4.0638773926152676e-05,4.391059403212785,0.00045605735183793563,3.3409805388694673,0.628863079210706,-0.6691821579839802,0.9576957564999234,0.01877243691199271,1.0,0.0,upregulated set,1.2097299824528993,4.391059403212785,3.3409805388694673
CHK2,18.0,10.0,150.0,1.0462876254180602,0.06527950428388281,0.4694735753091267,0.3283888473177783,1.0,0.0,0.5172619047619048,-0.9510331508517224,0.989118451592512,0.004751696479044561,1.0,0.0,upregulated set,0.06527950428388281,0.3283888473177783,0.0
CK1A,21.0,10.0,88.0,2.1517582923832923,1.1055160286544796,0.003041775195484251,2.5168728859333704,0.027929026794900853,1.5539441973089527,0.9026650432900433,-0.14773735638672883,0.6675860685105988,0.17549273495280007,1.0,0.0,upregulated set,1.1055160286544796,2.5168728859333704,1.5539441973089527
CK1A2,11.0,4.0,73.0,1.3216939743934104,0.40238817326481185,0.24387129530821205,0.6128393149912599,1.0,0.0,0.4300248337739325,-1.2175081175657316,0.9787678619084137,0.009320299255863097,1.0,0.0,upregulated set,0.40238817326481185,0.6128393149912599,0.0
CK1D,21.0,13.0,113.0,1.6600095670892132,0.7311915562423146,0.031242023023695036,1.50526085188881,0.19721527033707492,0.7050594607620921,0.9134444178691966,-0.13061114983766603,0.6625215823996181,0.17879996952037913,1.0,0.0,upregulated set,0.7311915562423146,1.50526085188881,0.7050594607620921
CK1E,15.0,8.0,67.0,1.994168231689236,0.9957871232696537,0.01836630978570342,1.7359780946848755,0.13573150890410088,0.867319322902306,0.9502781948246931,-0.07357816929597025,0.6093669922674687,0.21512107401281563,1.0,0.0,upregulated set,0.9957871232696537,1.7359780946848755,0.867319322902306
CK1G1,12.0,9.0,50.0,2.1300983606557375,1.0909200507111465,0.022037750556239945,1.6568327369921643,0.1589866290128739,0.7986393988877596,1.4458753709198813,-0.5319432027006928,0.20547794019472027,0.6872347964933034,0.9292509832686603,0.031866970691824904,upregulated set,1.0909200507111465,1.6568327369921643,0.7986393988877596
